window_start,window_end,window_center,corn_mean,corn_std,corn_skew,corn_kurtosis,temp_mean,temp_std,temp_skew,temp_kurtosis,volatility,corr_price_temp,precip_mean,transition_date
2010-11-02,2011-03-11,2011-01-06,622.8694444444444,60.92286783737767,0.0024405824487213,-1.1870034132754366,-2.857222222222222,7.905916434491548,-0.0429870976424153,-0.1252693768978812,0.0200533855394155,-0.2134257340433599,1.1133333333333333,2011-01-28
2010-12-15,2011-04-25,2011-02-18,676.8277777777778,50.623398080418205,0.1190268864670988,-0.9018314510954748,-0.8411111111111111,8.744155601230277,-0.2040703261497687,-0.605962915492325,0.0210508969450008,0.5374018086294263,1.8822222222222225,2011-01-28
2011-06-08,2011-10-13,2011-08-11,690.95,44.67814361467957,-0.2442469478075246,-0.0673284420297437,22.19333333333333,4.966161902812253,-0.2708507511699741,-0.4592664705358023,0.0253222162286477,0.1628511372597964,3.281111111111111,2011-09-01
2011-07-21,2011-11-25,2011-09-23,670.1138888888889,45.56610460859035,0.0825464731582872,-0.7726316457472424,17.023333333333333,8.025203277204225,-0.1510466952105529,-1.092935070527284,0.0192867559666071,0.5559074425921562,1.5155555555555555,2011-09-01
2011-11-28,2012-04-05,2012-02-02,631.1555555555556,26.006632088935284,-0.5520019108964109,-0.7661008935719802,3.528888888888889,7.874621366955294,0.4150262970059087,-0.4653905084587979,0.015335243191811,0.5166856910488168,1.9355555555555557,2012-02-24
2012-01-11,2012-05-18,2012-03-16,638.0,19.18705966079655,-0.2810685878290845,-0.5195869814555323,8.323333333333334,9.204951647426546,-0.3591967334792924,-0.8851168168953625,0.0180005460462865,0.2270367605304338,2.3144444444444443,2012-02-24
2012-02-24,2012-07-02,2012-04-30,628.0611111111111,32.17600628999865,-0.4895128027577691,-0.5833828306066091,16.239444444444445,7.285696678587747,-0.4394247588234571,0.076206269665247,0.0217705701803487,-0.2459813920174085,2.56,2012-04-09
2013-06-19,2013-10-24,2013-08-22,513.2305555555556,85.62345896077191,1.273985453544708,0.1277186205328218,21.63,5.923860531402272,-1.114139097604136,1.2722197549401375,0.0303855179934704,0.37443872005502,2.4766666666666666,2013-09-13
2013-08-01,2013-12-06,2013-10-04,451.34722222222223,26.47769610584837,0.5278303959927116,-0.8530559220056451,14.605555555555556,10.560203129548611,-0.4698477223093459,-0.6983715604141238,0.0158719141123686,0.8310863581309169,2.1644444444444444,2013-09-13
2013-12-09,2014-04-17,2014-02-13,455.06944444444446,29.183986965346392,0.4255930279750129,-1.3536003802816292,-4.459999999999999,9.367542577036106,-0.0895424448354996,-0.9804349982629286,0.0120603977935074,0.6997322931318147,0.952222222222222,2014-03-07
